Hon Dan Tehan MP: Member for Wannon, Victoria
Ms Susan Templeman MP: Member for Macquarie, New South Wales
Hon Matt Thistlethwaite MP: Member for Kingsford Smith, New South Wales
Ms Kate Thwaites MP: Member for Jagajaga, Victoria
Hon Alan Tudge MP: Member for Aston, Victoria
Ms Maria Vamvakinou MP: Member for Calwell, Victoria
Mr Bert van Manen MP: Member for Forde, Queensland
Mr Ross Vasta MP: Member for Bonner, Queensland
Mr Andrew Wallace MP: Member for Fisher, Queensland
Mr Tim Watts MP: Member for Gellibrand, Victoria
Mrs Lucy Wicks MP: Member for Robertson, New South Wales
Mr Andrew Wilkie MP: Member for Denison, Tasmania
Mr Josh Wilson MP: Member for Fremantle, Western Australia
Mr Rick Wilson MP: Member for O'Connor, Western Australia
Mr Tim Wilson MP: Member for Goldstein, Victoria
Hon Jason Wood MP: Member for La Trobe, Victoria
Hon Ken Wyatt AM, MP: Member for Hasluck, Western Australia
Mr Terry Young MP: Member for Longman, Queensland
Mr Tony Zappia MP: Member for Makin, South Australia
Mr Trent Zimmerman MP: Member for North Sydney, New South Wales
